measurement,latency_ms
1,30.0
2,31.0
3,30.0
4,30.0
5,31.0
6,33.0
7,29.0
8,30.0
9,30.0
10,30.0
11,30.0
12,31.0
13,33.0
14,30.0
15,31.0
16,29.0
17,30.0
18,30.0
19,32.0
20,31.0
21,30.0
22,30.0
23,30.0
24,32.0
25,30.0
26,33.0
27,31.0
28,31.0
29,30.0
30,31.0
31,31.0
32,30.0
33,31.0
34,31.0
35,30.0
36,30.0
37,30.0
38,30.0
39,30.0
40,31.0
41,32.0
42,34.0
43,31.0
44,29.0
45,33.0
46,31.0
47,31.0
48,44.0
49,30.0
50,30.0
51,31.0
52,31.0
53,32.0
54,31.0
55,30.0
56,31.0
57,32.0
58,32.0
59,30.0
60,30.0
61,31.0
62,31.0
63,31.0
64,31.0
65,30.0
66,32.0
67,29.0
68,30.0
69,33.0
70,31.0
71,34.0
72,32.0
73,30.0
74,31.0
75,32.0
76,76.0
77,32.0
78,31.0
79,31.0
80,30.0
81,31.0
82,31.0
83,30.0
84,30.0
85,31.0
86,32.0
87,30.0
88,30.0
89,34.0
90,30.0
91,29.0
92,31.0
93,30.0
94,30.0
95,30.0
96,32.0
97,29.0
98,33.0
99,30.0
100,31.0
